offer_id,title,address,district,price,total_area,rooms,floor,floors_total,house_type,year_built,description,link
322430288,"2-комн. квартира, 90,4 м², 3/17 этаж",Москва,ЗАО,128 304 720 ₽,90.4,2,3,17,,,"Продается квартира с 2-мя спальнями без отделки в корпусе 5.2 общей площадью 90,4 кв.м. на 3 этаже. Знаковый проект для ценителей комфортной городской среды от Vesper. Квартал площадью 3,7 га расположен на Кутузовском проспекте и воплощает новую концепцию идеально сбалансированного места для жизни. Благодаря удачному расположению и развитой транспортной инфраструктуре отсюда одинаково быстро добираться как до Кремля и ММДЦ ""Москва-Сити"", так и до Рублево-Успенского шоссе. Планировочные решения проекта Vesper Кутузовский включают широкую линейку жилых форматов и подойдут для самых взыскательных резидентов: помимо базовых вариантов квартир доступны эксклюзивные лоты — пентхаусы с террасами и квартиры с патио. Продуманная приватная инфраструктура, собственный ландшафтный парк, близость магазинов и ресторанов делают Vesper Кутузовский достойным выбором для самых взыскательных клиентов: как для тех, кто любит уединение, так и для резидентов, которые стремятся быть в центре событий. Концепция жилого квартала разработана ODA Architecture. Разная высотность 10 строений, плавные линии и главный паттерн из арок, размер которых меняется в зависимости от дома и этажа, создают визуальный ритм квартала и делают его легким и элегантным, наполненным солнечным светом и воздухом.",https://www.cian.ru/sale/flat/322430288/
323336526,Лот под ключ у Кремля,Москва,ЦАО,87 179 200 ₽,,,,,,,"Рассрочка 0% на 12 месяцев. Lumin House - клубный дом премиум-класса в самом центре Москвы. Внутри европейские строительные материалы и сантехника, немецкие лифты ThyssenKrupp, панорамные окна Schco, мультизональные VRV системы кондиционирования LG. В апартаменте выполнена отделка в светлых тонах с мебелью под ключ. Строительные и отделочные материалы закупались до 2022 года у западных производителей, поэтому внутри лота удалось обеспечить по-настоящему европейское качество. Грамотное планировочное решение подразумевает просторную светлую кухню-гостиную , мастер-спальню, гостевую комнату, три санузла и постирочную зону. Авторские предметы декора наполняют пространство жизнью и шармом. Спальня представляет собой пространство, сочетающее современный минимализм с теплыми древесными тонами, живыми текстурами и продуманным светом. В доме 54 апартамента и 4 пентхауса. Точкой притяжения для резидентов является приватная терраса на кровле. В доме предусмотрен подземный паркинг, что большая редкость для центра столицы.",https://www.cian.ru/sale/flat/323336526/
323122607,"3-комн. квартира, 111,8 м², 5/11 этаж",Москва,ЦАО,210 000 000 ₽,111.8,3,5,11,,,"ХАРАКТЕРИСТИКИ КВАРТИРЫ Выполнен ремонт. ПЛАНИРОВКА: кухня-столовая-гостиная, мастер-спальня со своим санузлом и гардеробной комнатой, изолированная комната, гостевой санузел, прихожая В квартире 6 панорамных окон. Два балкона Вид на прилегающую территорию и соседний корпус УСЛОВИЯ ПРОДАЖИ - свободная продажа - возможна ипотека - быстрый выход на сделку Бонус агенту. Без комиссии для покупателя. О КОМПЛЕКСЕ ЖК Садовые Кварталы состоит из 5 кварталов с закрытой, приватной и безопасной внутренней территорией без машин, детскими игровыми зонами, беседками и пешеходными дорожками. Комплекс находится под круглосуточной охраной. Все кварталы объединяются пешеходными мостиками. Сердцем комплекса является собственный пруд, с окружающей его развитой инфраструктурой, включающей все необходимое для комфортной жизни, по концепции ""Город в городе"".",https://www.cian.ru/sale/flat/323122607/
308803465,Проект класса deluxe от Vesper,Москва,ЦАО,467 910 000 ₽,,,,,,,"Продаются апартаменты общей площадью 173,3 кв. м. с 2-мя спальнями и кухней-гостиной. О жилом комлексе Компания Vesper представляет проект ""Левенсон"" в исключительной локации — на Патриарших прудах. Проект собирает комбинацию из легендарных исторических зданий типографии поставщика императорского двора Александра Левенсона и объектов современной архитектуры. Новый проект Vesper создан для ценителей подлинных исторических особняков, наполненных совершенными технологиями для создания абсолютного уровня комфорта и эстетики жизни. Клубный дом ""Левенсон"" объединяет сразу несколько форматов жилой недвижимости, отвечающих самым высоким запросам: современный дом, два исторических здания, частная резиденция. В проекте представлены квартиры и апартаменты с патио, таунхаусы, пентхаусы с террасами. О застройщике Девелопер проекта Vesper специализируется в премиальном сегменте клубной жилой недвижимости. Портфель компании включает 22 проекта в Москве и странах Европы. Актуальные архитектурные проекты, индивидуальный дизайн, передовые технологии, качественные материалы и лучшие мировые практики воплощены в каждом доме компании. Расположение и транспортная доступность Расположение проекта в районе Патриарших прудов позволит резидентам чередовать яркие впечатления от динамичной жизни в мегаполисе с комфортным отдыхом в уединении. Лучшие рестораны высокой кухни, кафе, театры, выставочные залы и бутики здесь соседствуют с тихими переулками и скверами. Архитектура Архитектурная концепция от бюро ""Цимайло, Ляшенко и партнеры"" гармонично дополняет шедевры модерна новыми формами и материалами. Все квартиры предлагаются с высококачественной отделкой натуральными материалами, оборудованными кухнями и ванными комнатами. Комфорт жизни резидентов будут обеспечивать шумопоглощающие окна, многоуровневая система очистки воды, технология ""умный дом"" и система очистки воздуха. Инфраструктура Вся территория резиденций ""Левенсон"" объединена ландшафтным дизайном, выполненным в изящных пропорциях клубного пространства. Благодаря смене архитектурных эпох между зданиями сформировалось несколько камерных пространств, каждое из которых архитекторы бюро Basis представили в виде отдельной комнаты. Технические детали проекта: — Инновационная система микроклимата. — Приточно-вытяжная вентиляция с подготовкой и увлажнением воздуха. — Система контроля и управления доступом, видеонаблюдение. — Служба ресепшн. Техническая служба эксплуатации и обслуживания здания. — Многоуровневая система очистки воды. — Бесперебойное обеспечение горячей водой. — Окна с повышенным уровнем шумоизоляции.",https://www.cian.ru/sale/flat/308803465/
321565417,"Цветной бульвар, авторский ремонт",Москва,ЦАО,165 000 000 ₽,,,,,,,"Авторский ремонт 2025, идеального качества - делалась для себя. В квартире потолки 3,30 см , 8 окон с видом на две стороны, огромная зона кухни + 2-я техническая кухня, просторные гостиная и столовая , 2 спальни, обе с ванными и гардеробными (есть возможность сделать 3 спальни). Гостевой туалет и постирочная комната. Техника Miele, сантехника Villeroy & Boch., кондиционирование с подачей очищенного воздуха и увлажнение. Инженерное оборудование - Германия, сантехника и мебель Италия: QD, Bonaldo, Febal Casa, Ditre, Condominio. Действующий био - камин, кухня и ванны - мрамора. Система видеоконтроля и доступа, очистка воды, бронированная дверь Dierre. Продуманное зонирование и эргономика пространства. Система умный дом: удаленное управление камерами, климат-контролем, подогревом полов, отоплением, пылесосом. Элитный ЖК всего на 47 квартир, полная шумоизоляция, охрана 24/7, консьерж сервис, раздельные потоки жильцов и доставки, переговорная для жильцов дома, комната хранения колясок и велосипедов, на каждом этаже комната мойки для питомцев. 100+ ресторанов в пешей доступности. Подземный гостевой паркинг . Одно широкое машиноместо продается отдельно за 15 млн. Коммунальные 32 000р. в месяц + счетчики. ПРЯМОЙ ПРЕДСТАВИТЕЛЬ СОБСТВЕННИКА, ОПЕРАТИВНЫЙ ПОКАЗ, БЕЗ КОМИССИИ ДЛЯ ПОКУПАТЕЛЯ.",https://www.cian.ru/sale/flat/321565417/
322286415,Премиальный дизайнерский ремонт,Москва,ЦАО,995 000 000 ₽,,,,,,,"Уникальная роскошная квартира с новым ремонтом, полностью готовая к проживанию, в одном из самых престижных районов Москвы - Хамовниках. Комплектация квартиры продумана до мелочей и воплощена с использованием самых изысканных мировых брендов. Элитная недвижимость в центре Золотой Мили. Ультрасовременный клубный дом ""Стольник"" с собственным фитнес-клубом, бассейном, сауной и переговорными комнатами. Круглосуточная охрана. Планировка и техническое оснащение квартиры: • 3 Спальни, кабинет, просторная гостиная, гардеробные при каждой спальне, 4 санузла, сауна и постирочная; • Централизованная система приточно-вытяжной вентиляции: фанкойлы (обогрев/охлаждение); • В квартире установлена форсуночная система увлажнения без лишнего шума и конденсата; • Система Умный дом - с автоматическим и голосовым управлением температурой в комнатах, освещением, шторами, аудиосистемой. Умный дверной замок; • Камин и светодиодная подсветка во всех помещениях; • Гостиная с премиальным домашним кинотеатром: ТВ 98 дюймов, звук Хай-Энд (6 колонок), винил и профессиональное караоке; • Сенсорные датчики - автоматическое включение света при входе в помещения; • Подогрев полов в санузлах и прихожей; • Двухместная ванна-джакузи с двумя независимыми электронными блоками управления, опция массажа с выбором зон и мощности, уникальная система домашнего СПА - Koller Milk. • Холодильник для 6 шуб, холодильник для кремов (Biszet), сейф для драгоценностей и денег с механизмами автоподзавода часов, сушильный шкаф; • Сауна и инфракрасная панель Repabad, умные унитазы Geberit, биде. Мебель, Декор и Бренды: • Паркет, стеновые панели, мрамор, двери, обои и лепнина - итальянское и бельгийское производство; • Мебель Francesco Molon, Turri, Vittoria Frigerio, Giorgetti, Bruno Zampa; • Кухня Tessarolo; • Мебель, сантехника, смесители и аксессуары в санузлах - THG, Cristal&amp; Bronze, Milldue (Италия, Франция); • Свет: Barovier&Toso, Turri, Patrizia Garganti; • Шторы и покрывала - Италия, Франция, Швейцария. Комплектация квартиры под полный ключ • Постельное белье, пледы, халаты, полотенца Loro PIANA, Jesurum, Bianca Perla, Armani, Frette (Италия, Швейцария); • Плечики-вешалки - 80 штук во всех вариациях и шкафах (Pinetti, Toscanini); • Вазы, свечи, диффузоры ароматов (Франция, Англия); • Шкатулки для драгоценностей и хранения и подзавода часов (Германия, Италия); • Кожаные лотки и подносы для хранения мелочей и кожаные аксессуары для рабочих столов - Ralph Lauren, Pinetti; • Зеркала, постеры, фоторамки, предметы декора и интерьера - Англия, Франция (Christofle, Trowbridge Gallery, Armani); • Бокалы, вазы, хрусталь - Ralph Lauren, Mascheroni; • Кухонная техника Bugatti, Kuppersbusch, Gaggenau, Miele; • Посуда для приготовления пищи Mepra; • Обеденный сервиз на 8 человек в полном комплекте - Legle (Швейцария); • Столовые приборы - 2 комплекта (Christofle и Robbe&Berking). Все перепланировки легализованы. 2 машиноместа в подземном паркинге входят в стоимость.",https://www.cian.ru/sale/flat/322286415/
286258299,Скидка 15% на лоты с отделкой,Москва,ЦАО,,,,,,,,"Продаются апартаменты с сервисом 5* отеля на 5-м этаже общей площадью 104.2 метров с 2-мя спальнями и кухней-гостиной. Дом готов. О жилом комплексе Исключительный проект на главной улице Москвы, меняющий эстетику жизни в современном мегаполисе. Компания Vesper представляет проект на Тверской — апартаменты класса de luxe с отделкой и мебелью, с сервисом и инфраструктурой. Проект Vesper Tverskaya завершает архитектурный ансамбль Тверской, занимая последний свободный участок главной улицы города — в самом центре культурной, деловой и ночной жизни Москвы. Два здания, в которых расположены апартаменты, создают единый ансамбль. Они соединены общими этажами, где расположены wellness-клуб с бассейном и СПА и паркинг. При этом у каждого из зданий отдельный вход. О застройщике Девелопер проекта Vesper специализируется в премиальном сегменте клубной жилой недвижимости. Портфель компании включает в себя 22 проекта в Москве и странах Европы. Актуальные архитектурные проекты, индивидуальный дизайн, передовые технологии, качественные материалы и лучшие мировые практики воплощены в каждом доме компании. Расположение и транспортная доступность Расположение в самом центре, на Тверской улице, создает особый ритм жизни. Всё, чем может заинтересовать один из крупнейших мегаполисов мира, располагается прямо перед вашими окнами.Всего в паре шагов — Патриаршие пруды, один из самых модных и концептуальных районов города. Гастрономические рестораны и энотеки, театры, музеи, лучшие школы — формируют идеальную среду для проживания в мегаполисе. Из апартаментов открываются панорамные виды на динамичную главную улицу города, Триумфальную площадь, исторические особняки. Архитектура Здания, проект которых разработан архитектурным бюро SPEECH под руководством Сергея Чобана, виртуозно балансируют между классической и новаторской концепциями. Проект органично вписывается в элегантный ряд исторических зданий Тверской, привнося свежий акцент своей современной интерпретацией классических форм и пропорций. Все апартаменты предлагаются с высококачественной отделкой с использованием мрамора, дерева ценных пород и текстиля, включающей оборудованные кухни и ванные комнаты. Дом оснащен многоуровневой системой очистки воды, централизованной системой кондиционирования и повышенной шумоизоляцией окон. Инфраструктура Wellness-клуб с 20 метровым бассейном, фитнес центр и СПА, просторные lounge-зоны — все эти преимущества доступны владельцам апартаментов. Доставить ужин из ресторана к приходу гостей или сделать уборку дома к возвращению из командировки — все это можно доверить сервису Vesper Tverskaya, не сомневаясь в качестве результата. Сервисы: -Консьерж-сервис 24/7 -Портье -Услуги горничной -Техническое обслуживание апартаментов Техническое оснащение дома: -Инновационная система микроклимата TION -Увлажнение воздуха, система центрального кондиционирования типа VRF -Многоуровневая система очистки воды -Бесперебойное обеспеч",https://www.cian.ru/sale/flat/286258299/
318900084,Ремонт | Центр | Тишина,Москва,ЦАО,75 000 000 ₽,,,,,,,"К продаже предлагается шикарная 2-х комнатная квартира с дизайнерским ремонтом в кирпичном доме 1977 года постройки в центре Москвы. Общая площадь 75 м2. Функциональная планировка включает в себя: — спальня — кабинет (детская) — 2 совмещенных санузла — кухня-гостиная — просторный коридор — балкон В доме железобетонные перекрытия. Вид из окон во двор и на улицу. Высота потолков 3 м2. Квартира с дизайнерским и высококачественным ремонтом с узаконенной перепланировкой. Отличная шумоизоляция. Закрытая парковка во дворе со шлагбаумом. Великолепнейшее расположение. Прогулочные зоны в пешей доступности. Вся инфраструктура для жизни (дет. сады, школы, вузы, рестораны, кафе, салоны красоты). В нескольких минутах ходьбы станции метро: Маяковская, Белорусская, Пушкинская. Свободная продажа. Звоните, с удовольствием расскажем Вам о квартире и оперативно организуем просмотр!",https://www.cian.ru/sale/flat/318900084/
315047804,"4-комн. квартира, 201,08 м², 15/15 этаж",Москва,ЦАО,320 000 000 ₽,201.08,4,15,15,,,"ХАРАКТЕРИСТИКИ КВАРТИРЫ Выполнен ремонт. ПЛАНИРОВКА: кухня-столовая, гостиная, три спальные комнаты, четыре санузла, холл, гардеробные. потолки 3,7 м Большая терраса. Вид из окон открывается на Москву Сити, гостиницу ""Украина"" и внутренний двор. УСЛОВИЯ ПРОДАЖИ - свободная продажа - возможна ипотека - быстрый выход на сделку Бонус агенту. Без комиссии для покупателя. О КОМПЛЕКСЕ Жилой комплекс Lucky представляет собой квартал премиального уровня в центре Москвы. Визуально концепция предполагает деление на две части: верхнюю, где находится непосредственно жилой сегмент, и нижнюю с социокультурными объектами. Сооружения нижнего города разнятся по стилевому направлению и функциональности. Верхнюю часть составляют жилые башни общей численностью 8. Каждый из них имеет высотность от 13 до 21 этажа. Нижняя часть территория площадью 4,5 гектара, занятая 7 историческими постройками с объектами инфраструктуры, а также парковыми зонами и бизнес-центрами категории А. Архитектурная концепция проекта заключается в комбинации отреставрированной исторической застройки начала 20 столетия и современных корпусов. Строения возведены по монолитной технологии.",https://www.cian.ru/sale/flat/315047804/
318761114,2 спальни и просторная гостиная,Москва,ЗАО,50 609 600 ₽,,,,,,,"Прямая продажа от застройщика. Продается 2-комнатная квартира площадью 67,3 кв.м. на 3-м этаже 34-этажного дома в ЖК hideOUT с панорамными видами: Лужники, Воробьёвы горы, МГУ, долина реки Сетунь. Высота потолков 3,25 м. hideOUT — премиальный проект компании Dominanta. Это новый уровень жизни и комфорта без компромиссов. Две башни — 34 и 49 этажей — открывают захватывающие виды на Москву. Архитектурной доминантой проекта становится мост, соединяющий башни на высоте 80 метров. Закрытая территория, охрана 24/7, зона экстренной безопасности на подземном уровне, система пожаротушения. На мосту между башнями на 22-м этаже находится SocialHUB — предусмотрено 16 комфортных пространств для работы, отдыха и развлечений с панорамными видами и клубным форматом доступа. Концепция благоустройства hideOUT — баланс между природой и технологичным городом будущего. На территории сада предусмотрены 15 зон для отдыха, работы, спорта и детей. Знаковым местом станет центральная площадь с амфитеатром и водопадом — сочетание камней, растений и струящейся воды создает идеальный баланс с природой. В проекте действуют привлекательные условия покупки: - рассрочка 0% на 3 года с первоначальным взносом от 20%. Период рассрочки до 36 месяцев. - скидка 15% при 100% оплате стоимости лота. Предложение действует до 31.10.2025",https://www.cian.ru/sale/flat/318761114/
